"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","BS_Modified"
17798,"Aizawl",1999,3000,1502,"Mizoram","Member State","NO",115,"India",4.25106171985,0.30603256157,NA
17800,"Lunglei",1999,3000,1502,"Mizoram","Member State","NO",115,"India",3.77866958863,0.40325197418,NA
70199,"Champhai",1999,3000,1502,"Mizoram","Member State","NO",115,"India",3.00942394726,0.29728621474,"Moderate"
70200,"Kolasib",1999,3000,1502,"Mizoram","Member State","NO",115,"India",2.13074847313,0.11987534423,NA
70201,"Lawngtlai",1000,3000,1502,"Mizoram","Member State","NO",115,"India",2.83216227477,0.18001944923,"Severe"
70202,"Mamit",1999,3000,1502,"Mizoram","Member State","NO",115,"India",3.52322586902,0.27414968608,"Severe"
70203,"Saiha",1999,3000,1502,"Mizoram","Member State","NO",115,"India",2.66524903114,0.16956665614,"Moderately Severe"
70204,"Serchhip",1999,3000,1502,"Mizoram","Member State","NO",115,"India",2.46693344,0.11992973856,NA
17801,"Kohima",1998,3000,1503,"Nagaland","Member State","NO",115,"India",3.73964987221,0.26909159966,"Moderate"
17802,"Mokokchung",1000,3000,1503,"Nagaland","Member State","NO",115,"India",2.33848504353,0.14534611431,"Moderately Severe"
17803,"Mon",1000,3000,1503,"Nagaland","Member State","NO",115,"India",2.45858639615,0.19286148222,"Moderate"
17804,"Phek",1000,3000,1503,"Nagaland","Member State","NO",115,"India",2.49222407053,0.17104763041,"Low"
17805,"Tuensang",1000,3000,1503,"Nagaland","Member State","NO",115,"India",3.87715103163,0.34141667695,"Low"
17806,"Wokha",1000,3000,1503,"Nagaland","Member State","NO",115,"India",2.19581216198,0.14686597738,"Moderately Severe"
17807,"Zunheboto",1000,3000,1503,"Nagaland","Member State","NO",115,"India",2.26204835651,0.14188593893,"Low"
70205,"Dimapur",1998,3000,1503,"Nagaland","Member State","NO",115,"India",1.70917103399,0.07800544689,"Moderate"
17809,"Cuttack",1993,3000,1504,"Orissa","Member State","NO",115,"India",5.57046705202,0.34142555345,"Moderately Severe"
17810,"Dhenkanal",1993,3000,1504,"Orissa","Member State","NO",115,"India",3.64516790753,0.38883962929,"Moderate"
17811,"Ganjam",1993,3000,1504,"Orissa","Member State","NO",115,"India",6.23397879182,0.72278451226,"Moderately Low"
17812,"Kalahandi",1993,3000,1504,"Orissa","Member State","NO",115,"India",5.52026577646,0.68270021478,"Severe"
17813,"Keonjhar",1000,3000,1504,"Orissa","Member State","NO",115,"India",5.77229474513,0.72565614041,"Severe"
17814,"Koraput",1993,3000,1504,"Orissa","Member State","NO",115,"India",7.09889303608,0.73557043718,"Severe"
17816,"Mayurbhanj",1000,3000,1504,"Orissa","Member State","NO",115,"India",6.76440893319,0.91333913672,"Severe"
17818,"Puri",1993,3000,1504,"Orissa","Member State","NO",115,"India",5.78063478207,0.30201374659,NA
17819,"Sambalpur",1993,3000,1504,"Orissa","Member State","NO",115,"India",5.48018096816,0.58761860982,"Severe"
17820,"Sundargarh",1000,3000,1504,"Orissa","Member State","NO",115,"India",7.17848779798,0.85221114101,"Severe"
70206,"Angul",1993,3000,1504,"Orissa","Member State","NO",115,"India",5.28168457222,0.55367033928,"Severe"
70207,"Baleshwar",1993,3000,1504,"Orissa","Member State","NO",115,"India",5.42055396093,0.3213485267,NA
70208,"Baragarh",1993,3000,1504,"Orissa","Member State","NO",115,"India",5.16991319143,0.50508415544,"Moderately Severe"
