"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","BB"
70135,"Panchkula",1994,3000,1492,"Haryana","Member State","NO",115,"India",1.66900769624,0.0694755221812,"(1.67e+03,2.22e+03]"
70136,"Panipat",1990,3000,1492,"Haryana","Member State","NO",115,"India",1.71302777788,0.113766544081,"(1.11e+03,1.67e+03]"
70137,"Rewari",1990,3000,1492,"Haryana","Member State","NO",115,"India",2.28031191339,0.115190260639,"(1.67e+03,2.22e+03]"
70138,"Yamuna Nagar",1990,3000,1492,"Haryana","Member State","NO",115,"India",1.91009764588,0.122342256461,"(1.67e+03,2.22e+03]"
17666,"Bilaspur",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",2.13032760261,0.110555008268,"(1.67e+03,2.22e+03]"
17667,"Chamba",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",4.93132468105,0.581802559415,"[0,555]"
17668,"Hamirpur",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",1.69328554465,0.106654240753,"(1.11e+03,1.67e+03]"
17669,"Kangra",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",5.08368968488,0.545261047586,"(555,1.11e+03]"
17670,"Kinnaur",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",4.64215384547,0.602524767181,"[0,555]"
17671,"Kullu",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",3.7849952314,0.524580423323,"[0,555]"
17672,"Lahul and Spiti",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",7.94865428537,1.27857284817,"[0,555]"
17673,"Mandi",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",2.97345364533,0.375371473983,"(1.11e+03,1.67e+03]"
17674,"Shimla",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",5.08800031893,0.485694093693,"[0,555]"
17675,"Sirmaur",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",3.06058675627,0.264368798704,"(1.11e+03,1.67e+03]"
17676,"Solan",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",2.68999614086,0.1848126984,"(1.67e+03,2.22e+03]"
17677,"Una",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",2.08506758737,0.146097295282,"(1.67e+03,2.22e+03]"
